#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.;;;;;;;;;;
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.;;;;;;;;;;
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, objID1, distance;;;;;;;;;;
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, string, float;;;;;;;;;;
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance;;;;;;;;;;
"image,3,SPITZER_SHA,000001578D00,NGC0045,3.36193593705442,-23.2333382094318,54460.26563558,54460.29067627,26.8,Infrared,IRAC1,3170,3950,,The Local Volume Legacy Survey,54474.69644662,IRAC,""Kennicutt, Robert"",HUGS-ANGST_40204,,,22514944,SSC Pipeline,POLYGON 3.46579000 -23.49790000 3.18096100 -23.11487400 3.57122800 -22.86932200 3.85665000 -23.25164500 3.46579000 -23.49790000,,https://irsa.ipac.caltech.edu/data/SPITZER/SHA/archive/proc/IRAC012000/r22514944/ch1/pbcd/SPITZER_I1_22514944_0000_5_E8205587_maic.fits,PUBLIC,False,NaN,science,1693560,19765944,19765944,0";;;;;;;;;;
"image,3,SPITZER_SHA,000001578D00,NGC0045,3.36193593705442,-23.2333382094318,54460.26563558,54460.29067627,26.8,Infrared,IRAC2,3990,5010,,The Local Volume Legacy Survey,54474.69644662,IRAC,""Kennicutt, Robert"",HUGS-ANGST_40204,,,22514944,SSC Pipeline,POLYGON 3.46579000 -23.49790000 3.18096100 -23.11487400 3.57122800 -22.86932200 3.85665000 -23.25164500 3.46579000 -23.49790000,,https://irsa.ipac.caltech.edu/data/SPITZER/SHA/archive/proc/IRAC012000/r22514944/ch2/pbcd/SPITZER_I2_22514944_0000_5_E8205555_maic.fits,PUBLIC,False,NaN,science,1693560,19765830,19765830,0";;;;;;;;;;
"image,3,SPITZER_SHA,000001578D00,NGC0045,3.36193593705442,-23.2333382094318,54460.26563558,54460.29067627,26.8,Infrared,IRAC3,5020,6410,,The Local Volume Legacy Survey,54474.69644662,IRAC,""Kennicutt, Robert"",HUGS-ANGST_40204,,,22514944,SSC Pipeline,POLYGON 3.46579000 -23.49790000 3.18096100 -23.11487400 3.57122800 -22.86932200 3.85665000 -23.25164500 3.46579000 -23.49790000,,https://irsa.ipac.caltech.edu/data/SPITZER/SHA/archive/proc/IRAC012000/r22514944/ch3/pbcd/SPITZER_I3_22514944_0000_5_A41749302_maics.fits,PUBLIC,False,NaN,science,1693560,19766442,19766442,0";;;;;;;;;;
"image,3,SPITZER_SHA,000001578D00,NGC0045,3.36193593705442,-23.2333382094318,54460.26563558,54460.29067627,26.8,Infrared,IRAC4,6430,9280,,The Local Volume Legacy Survey,54474.69644662,IRAC,""Kennicutt, Robert"",HUGS-ANGST_40204,,,22514944,SSC Pipeline,POLYGON 3.46579000 -23.49790000 3.18096100 -23.11487400 3.57122800 -22.86932200 3.85665000 -23.25164500 3.46579000 -23.49790000,,https://irsa.ipac.caltech.edu/data/SPITZER/SHA/archive/proc/IRAC012000/r22514944/ch4/pbcd/SPITZER_I4_22514944_0000_5_A41749718_maics.fits,PUBLIC,False,NaN,science,1693560,19766049,19766049,0";;;;;;;;;;
image,4,HLSP,hlsp_eleanor_tess_ffi_postcard-s0002-1-2-cal-1588-1240_tess_v2_pc,postcard-s0002-1-2-cal-1588-1240,3.44259031725064,-23.3387615191671,58353.60976248,58381.00583601,1800,Optical,TESS,600,1000,,,58792.75553239,Photometer,Benjamin Montet,,,TESS,2,ELEANOR,POLYGON ICRS 3.20608400 -23.79848700 2.90355400 -23.28033800 3.67875400 -22.87192100 3.98115400 -23.38728200,,mast:HLSP/eleanor/postcards/s0002/1-2/hlsp_eleanor_tess_ffi_postcard-s0002-1-2-cal-1588-1240_tess_v2_pc.fits,PUBLIC,False,NaN,science,32135942,76077544,76077544,0;;;;;;;;;;
image,3,HLA,hst_13364_35_wfc3_uvis_f438w,NGC45,3.49420522640173,-23.1754524955657,56531.7653,56531.77949,956,OPTICAL,F438W,394600006103.516,468100006103.516,,,56531.83655081,WFC3/UVIS,Calzetti,13364,HLA,HLA,-999,HLA,POLYGON J2000 3.52219724 -23.15673810 3.52216451 -23.15669544 3.52258760 -23.15645570 3.52230995 -23.15609461 3.52259940 -23.15593060 3.50835520 -23.13740290 3.50777792 -23.13772998 3.50753750 -23.13741720 3.46556180 -23.16119040 3.46580218 -23.16150327 3.47980240 -23.17972180 3.48009069 -23.17955858 3.48022077 -23.17972781 3.48004820 -23.17982410 3.49410070 -23.19814870 3.49439154 -23.19798640 3.49490720 -23.19865870 3.49510381 -23.19854898 3.49519654 -23.19849724 3.53682160 -23.17525910 3.53654371 -23.17489696 3.53683370 -23.17473500 3.52277760 -23.15641400 3.52219724 -23.15673810,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_13364_35_wfc3_uvis_f438w,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_13364_35_wfc3_uvis_f438w_drz.fits,PUBLIC,,9083,science,25766651,67690965,67690965,0;;;;;;;;;;
image,3,HST,hst_skycell-p0797x14y06_acs_wfc_f814w_all,NGC45-POS1,3.562083333333,-23.20805,53157.48875704,56531.84466973,1480,Optical,F814W,708,959,,,56531.97783557,ACS/WFC,,,,HAP,-999,HAP-MVM,POLYGON 3.5887021106707895 -23.283411761771198 3.567785113199773 -23.2807083200351 3.557623293793065 -23.27934027522988 3.5576608906877816 -23.27908503500676 3.5575044560796956 -23.27893994897477 3.556996922674531 -23.278882081530032 3.5568389908381404 -23.279025716462424 3.556801911106358 -23.279181014390723 3.5505791200445262 -23.27837480459633 3.5267766048150504 -23.275219390146752 3.52680216572252 -23.274964099815197 3.5259572129760306 -23.274704621572187 3.534944755869636 -23.237745438433986 3.5349448745406162 -23.23772322848744 3.5259019495264368 -23.19103719471061 3.55004110211728 -23.182555424453128 3.5535514388881797 -23.18135006521892 3.5577643843470654 -23.196117856909172 3.5589515825561864 -23.200221288475834 3.5632987817697424 -23.21495605487804 3.5659152209700284 -23.223241555555926 3.5664829899958526 -23.223299666508616 3.566640849910904 -23.223156013928484 3.5652863049482733 -23.218607719287153 3.5648585063095894 -23.217184269268508 3.564692098216487 -23.216639342111282 3.564692269145567 -23.216606026443355 3.5646682687597258 -23.21657260056812 3.5543619537026494 -23.181165013482527 3.5830710977879314 -23.171466356519144 3.6000099903789744 -23.22602509643321 3.597878828924848 -23.22681543145354 3.5980352495056867 -23.226960482846945 3.600741050365586 -23.227305393475476 3.5887021106707895 -23.283411761771198 POLYGON 3.513889213873999 -23.19354446241019 3.487505261157855 -23.207239909337076 3.462374427640662 -23.15680285433994 3.487581196105188 -23.142794044425777 3.489217765529539 -23.146022992778327 3.4985018584793828 -23.16419412877037 3.513889213873999 -23.19354446241019 POLYGON 3.5420363261151246 -23.179097460440133 3.5420240675382013 -23.179130720103693 3.5367900730688917 -23.18181584770775 3.5225772204797474 -23.189133243208715 3.522552994016223 -23.18914423203611 3.5180573769671923 -23.191465777477443 3.518033149791768 -23.191476765573395 3.516627481431148 -23.192202910869174 3.5155247355847568 -23.192775039160374 3.5155005080101382 -23.192786026846353 3.514688608082127 -23.193204085864974 3.5136479059144325 -23.19127774531669 3.513552277232696 -23.191088483636765 3.5124400249605707 -23.188995199662543 3.5116387799702538 -23.187480919206163 3.5098809234486295 -23.184151728571916 3.508924258100236 -23.182347921524347 3.507680777922015 -23.179976308363436 3.5071307776463474 -23.178929670811495 3.5059470908506483 -23.17668049632526 3.505755874941171 -23.17630196075785 3.504942818070628 -23.1747653663681 3.5025518955158486 -23.17018910636137 3.502539937897399 -23.17016683574349 3.502061822024545 -23.169242693751322 3.5019900773346944 -23.169109069742113 3.501225057136208 -23.167639322584222 3.4990377641806667 -23.163419385672242 3.493755756879113 -23.153153500133016 3.491378158273878 -23.14848823838898 3.4910555913162673 -23.14785358540066 3.4909480696537507 -23.14764203421496 3.490553847301162 -23.14686264385974 3.4904582808171876 -23.1466733640179 3.4883439312779383 -23.142486916509505 3.488356262068111 -23.142442554788715 3.5147786684477493 -23.128313094726398 3.5181141330195826 -23.134604204771062 3.525145111854675 -23.147787603094734 3.526998805453206 -23.15125043822813 3.5420363261151246 -23.179097460440133,mast:HST/product/hst_skycell-p0797x14y06_acs_wfc_f814w_all_drc.jpg,mast:HST/product/hst_skycell-p0797x14y06_acs_wfc_f814w_all_drc.fits,PUBLIC,False,NaN,science,87525884,174198995,174198995,0;;;;;;;;;;
image,3,HLA,hst_05446_01_wfpc2_f606w_wf,NGC45,3.52892633406509,-23.1790867208269,49573.91894,49573.92194,160,OPTICAL,F606W,510890014648.438,661130004882.813,,,49939.94038186,WFPC2/WFC,ILLINGWORTH,5446,HLA,HLA,-999,HLA,POLYGON J2000 3.50936800 -23.18199700 3.51542464 -23.18796416 3.50642900 -23.19558300 3.52273700 -23.21184900 3.54044800 -23.19684500 3.54038523 -23.19678238 3.55632300 -23.18301400 3.54177355 -23.16878201 3.54192700 -23.16864800 3.54019799 -23.16697529 3.52535900 -23.15261700 3.50790400 -23.16785800 3.51633852 -23.17602233 3.50936800 -23.18199700,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_05446_01_wfpc2_f606w_wf,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_05446_01_wfpc2_f606w_wf_drz.fits,PUBLIC,,6698,science,25573528,67497842,67497842,0;;;;;;;;;;
"image,3,HST,hst_13773_14_wfc3_uvis_total_icnk14,NGC0045,3.501791666667,-23.16761111111,57217.8391921,57217.90232856,2094,,detection,507.5,664.9,,,57584.16806707,WFC3/UVIS,""Chandar, Rupali"",13773,HAP,HAP,-999,HAP,RANGE 3.5226682625880916 3.5238332550966676 RANGE 3.5367301399999262 3.5238332550966676 RANGE 3.5366818062724739 3.5369457299999572 POLYGON 3.5369457299999572 -23.174968000000135 3.5366816543337989 -23.17462101539105 3.5366818062724739 -23.174620930263384 3.5367301399999262 -23.174593849999955 3.5239820150854366 -23.157917575234489 3.522667647930191 -23.156197910360245 3.5226682625880916 -23.156197560998677 3.522672609999943 -23.156195090000072 3.5157049094175319 -23.14709820363699 3.5081401799999248 -23.137211809999865 3.5075554139075416 -23.137548463192768 3.5073143699998797 -23.13723386000007 3.465550920000017 -23.161266079999908 3.4655796774687264 -23.161303168112127 3.46553315 -23.16132975 3.47984781 -23.17980735 3.480135917957798 -23.179642735637902 3.4802478162122075 -23.179787150066723 3.4800081400001015 -23.179923100000046 3.4941700800000985 -23.197995480000131 3.494745257165389 -23.197673488097617 3.4952476899999882 -23.198314689999961 3.5369457299999572 -23.174968000000135 3.5369457299999572 -23.174968000000135,mast:HST/product/hst_13773_14_wfc3_uvis_total_icnk14_drc.jpg,mast:HST/product/hst_13773_14_wfc3_uvis_total_icnk14_drc.fits,PUBLIC,False,NaN,science,26620116,154867589,154867589,0";;;;;;;;;;
image,3,HLA,hst_09774_a3_wfpc2_total_wf,NGC45-POS2,3.49392276439886,-23.164092117168,53157.61477,53157.69394,2400,,DETECTION,NaN,NaN,,,53524.57740727,WFPC2/WFC,LARSEN,9774,HLA,HLA,-999,HLA,POLYGON J2000 3.48255700 -23.14313100 3.48253444 -23.14319975 3.47634514 -23.16205634 3.47606144 -23.16292054 3.47560300 -23.16431700 3.48732760 -23.16757122 3.48449000 -23.17593500 3.49296562 -23.17836244 3.48925500 -23.18907600 3.51218300 -23.19578500 3.51948700 -23.17468700 3.51939902 -23.17466126 3.52582800 -23.15544400 3.50552293 -23.14970309 3.50558400 -23.14951700 3.48255700 -23.14313100,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_09774_a3_wfpc2_total_wf,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_09774_a3_wfpc2_total_wf_drz.fits,PUBLIC,,8262,science,25680582,67604896,67604896,0;;;;;;;;;;
